"","workerid","noun","nounclass","slide_number","predicate2","predicate1","class2","response","class1","language"
"1",0,"tomato","food",3,"hard","green","texture",0.79,"color","English"
"2",0,"apple","food",4,"metal","square","material",0.16,"shape","English"
"3",0,"TV","furniture",5,"round","good","shape",0.88,"quality","English"
"4",0,"banana","food",6,"metal","rotten","material",0.78,"age","English"
"5",0,"desk","furniture",7,"long","square","size",0.09,"shape","English"
"6",0,"chair","furniture",8,"green","wooden","color",0.05,"material","English"
"7",0,"couch","furniture",9,"red","new","color",0.82,"age","English"
"8",0,"carrot","food",10,"metal","rotten","material",0.88,"age","English"
"9",0,"chair","furniture",11,"hard","round","texture",0.1,"shape","English"
"10",0,"carrot","food",12,"blue","huge","color",0.87,"size","English"
"11",0,"couch","furniture",13,"wooden","blue","material",0.83,"color","English"
"12",0,"apple","food",14,"wooden","small","material",0.87,"size","English"
"13",0,"TV","furniture",15,"good","rotten","quality",0.09,"age","English"
"14",0,"chair","furniture",16,"plastic","long","material",0.86,"size","English"
"15",0,"cheese","food",17,"good","metal","quality",0.13,"material","English"
"16",0,"desk","furniture",18,"green","short","color",0.88,"size","English"
"17",0,"carrot","food",19,"big","soft","size",0.08,"texture","English"
"18",0,"chair","furniture",20,"fresh","short","age",0.93,"size","English"
"19",0,"carrot","food",21,"green","long","color",0.98,"size","English"
"20",0,"chair","furniture",22,"good","blue","quality",0.08,"color","English"
"21",0,"apple","food",23,"smooth","round","texture",0.17,"shape","English"
"22",0,"TV","furniture",24,"yellow","big","color",0.8,"size","English"
"23",0,"desk","furniture",25,"new","small","age",0.9,"size","English"
"24",0,"chair","furniture",26,"tiny","smooth","size",0.94,"texture","English"
"25",0,"tomato","food",27,"smooth","short","texture",0.85,"size","English"
"26",0,"couch","furniture",28,"good","big","quality",0.91,"size","English"
"27",1,"fan","furniture",3,"yellow","tiny","color",1,"size","english"
"28",1,"carrot","food",4,"metal","hard","material",0.97,"texture","english"
"29",1,"chair","furniture",5,"hard","square","texture",0.01,"shape","english"
"30",1,"carrot","food",6,"round","new","shape",0.96,"age","english"
"31",1,"apple","food",7,"good","round","quality",0,"shape","english"
"32",1,"tomato","food",8,"fresh","purple","age",0,"color","english"
"33",1,"TV","furniture",9,"wooden","soft","material",0.94,"texture","english"
"34",1,"tomato","food",10,"rotten","blue","age",0.02,"color","english"
"35",1,"tomato","food",11,"new","wooden","age",0.01,"material","english"
"36",1,"TV","furniture",12,"square","brown","shape",0.02,"color","english"
"37",1,"banana","food",13,"round","wooden","shape",0,"material","english"
"38",1,"tomato","food",14,"plastic","smooth","material",0.96,"texture","english"
"39",1,"banana","food",15,"metal","new","material",0.94,"age","english"
"40",1,"apple","food",16,"long","red","size",0.02,"color","english"
"41",1,"fan","furniture",17,"purple","short","color",0.93,"size","english"
"42",1,"desk","furniture",18,"small","fresh","size",0,"age","english"
"43",1,"couch","furniture",19,"metal","big","material",0.98,"size","english"
"44",1,"tomato","food",20,"green","small","color",1,"size","english"
"45",1,"cheese","food",21,"old","smooth","age",0.01,"texture","english"
"46",1,"banana","food",22,"huge","old","size",0.03,"age","english"
"47",1,"fan","furniture",23,"plastic","rotten","material",0.96,"age","english"
"48",1,"desk","furniture",24,"round","fresh","shape",0.96,"age","english"
"49",1,"banana","food",25,"rotten","good","age",0.02,"quality","english"
"50",1,"couch","furniture",26,"square","wooden","shape",0.02,"material","english"
"51",1,"chair","furniture",27,"huge","round","size",0.02,"shape","english"
"52",1,"cheese","food",28,"blue","big","color",0.97,"size","english"
"53",2,"desk","furniture",3,"bad","big","quality",0.94,"size","English"
"54",2,"fan","furniture",4,"huge","round","size",0.08,"shape","English"
"55",2,"carrot","food",5,"yellow","old","color",0.95,"age","English"
"56",2,"chair","furniture",6,"new","green","age",0.06,"color","English"
"57",2,"couch","furniture",7,"rotten","hard","age",0.16,"texture","English"
"58",2,"apple","food",8,"brown","rotten","color",0.96,"age","English"
"59",2,"banana","food",9,"bad","tiny","quality",0.9,"size","English"
"60",2,"tomato","food",10,"plastic","rotten","material",0.91,"age","English"
"61",2,"chair","furniture",11,"new","huge","age",0.92,"size","English"
"62",2,"desk","furniture",12,"tiny","new","size",0.05,"age","English"
"63",2,"banana","food",13,"round","huge","shape",0.97,"size","English"
"64",2,"tomato","food",14,"huge","soft","size",0.87,"texture","English"
"65",2,"TV","furniture",15,"new","big","age",0.96,"size","English"
"66",2,"couch","furniture",16,"good","small","quality",0.06,"size","English"
"67",2,"apple","food",17,"good","tiny","quality",0.08,"size","English"
"68",2,"desk","furniture",18,"purple","new","color",0.84,"age","English"
"69",2,"desk","furniture",19,"rotten","square","age",0.22,"shape","English"
"70",2,"TV","furniture",20,"tiny","metal","size",0.1,"material","English"
"71",2,"banana","food",21,"bad","smooth","quality",0.9,"texture","English"
"72",2,"apple","food",22,"square","tiny","shape",0.13,"size","English"
"73",2,"carrot","food",23,"yellow","huge","color",0.86,"size","English"
"74",2,"apple","food",24,"short","square","size",0.23,"shape","English"
"75",2,"chair","furniture",25,"blue","fresh","color",0.88,"age","English"
"76",2,"TV","furniture",26,"huge","yellow","size",0.13,"color","English"
"77",2,"TV","furniture",27,"small","plastic","size",0.09,"material","English"
"78",2,"apple","food",28,"rotten","square","age",0.06,"shape","English"
"79",3,"banana","food",3,"yellow","small","color",0.95,"size","English"
"80",3,"fan","furniture",4,"bad","green","quality",0.01,"color","English"
"81",3,"carrot","food",5,"yellow","old","color",0.99,"age","English"
"82",3,"chair","furniture",6,"red","soft","color",0.97,"texture","English"
"83",3,"desk","furniture",7,"soft","yellow","texture",0,"color","English"
"84",3,"banana","food",8,"huge","new","size",0.01,"age","English"
"85",3,"banana","food",9,"good","huge","quality",0.99,"size","English"
"86",3,"carrot","food",10,"wooden","big","material",0.98,"size","English"
"87",3,"apple","food",11,"wooden","soft","material",0.96,"texture","English"
"88",3,"cheese","food",12,"old","wooden","age",0.01,"material","English"
"89",3,"apple","food",13,"wooden","hard","material",0.97,"texture","English"
"90",3,"TV","furniture",14,"smooth","wooden","texture",0.02,"material","English"
"91",3,"apple","food",15,"metal","red","material",0.97,"color","English"
"92",3,"desk","furniture",16,"small","purple","size",0.01,"color","English"
"93",3,"tomato","food",17,"brown","short","color",0.98,"size","English"
"94",3,"couch","furniture",18,"brown","new","color",0.96,"age","English"
"95",3,"couch","furniture",19,"green","soft","color",0.96,"texture","English"
"96",3,"TV","furniture",20,"brown","tiny","color",0.96,"size","English"
"97",3,"banana","food",21,"square","metal","shape",0.01,"material","English"
"98",3,"fan","furniture",22,"tiny","red","size",0.03,"color","English"
"99",3,"chair","furniture",23,"bad","square","quality",0.01,"shape","English"
"100",3,"tomato","food",24,"round","short","shape",0.96,"size","English"
"101",3,"TV","furniture",25,"hard","red","texture",0.01,"color","English"
"102",3,"couch","furniture",26,"purple","new","color",0.97,"age","English"
"103",3,"banana","food",27,"small","new","size",0.01,"age","English"
"104",3,"TV","furniture",28,"good","brown","quality",0.03,"color","English"
"105",4,"TV","furniture",3,"tiny","bad","size",0.98,"quality","english"
"106",4,"chair","furniture",4,"short","square","size",0.05,"shape","english"
"107",4,"apple","food",5,"old","brown","age",0.96,"color","english"
"108",4,"fan","furniture",6,"yellow","fresh","color",0.96,"age","english"
"109",4,"tomato","food",7,"round","metal","shape",0.98,"material","english"
"110",4,"apple","food",8,"green","smooth","color",0.96,"texture","english"
"111",4,"cheese","food",9,"fresh","blue","age",0.02,"color","english"
"112",4,"carrot","food",10,"brown","plastic","color",0.02,"material","english"
"113",4,"couch","furniture",11,"smooth","tiny","texture",0.96,"size","english"
"114",4,"chair","furniture",12,"brown","bad","color",0.97,"quality","english"
"115",4,"fan","furniture",13,"long","blue","size",0.02,"color","english"
"116",4,"desk","furniture",14,"green","rotten","color",0.99,"age","english"
"117",4,"tomato","food",15,"hard","green","texture",0.03,"color","english"
"118",4,"carrot","food",16,"bad","blue","quality",0.02,"color","english"
"119",4,"desk","furniture",17,"plastic","round","material",0.98,"shape","english"
"120",4,"TV","furniture",18,"new","metal","age",0.05,"material","english"
"121",4,"fan","furniture",19,"smooth","good","texture",1,"quality","english"
"122",4,"fan","furniture",20,"good","smooth","quality",0.03,"texture","english"
"123",4,"chair","furniture",21,"bad","plastic","quality",0.04,"material","english"
"124",4,"desk","furniture",22,"soft","purple","texture",0.06,"color","english"
"125",4,"fan","furniture",23,"hard","yellow","texture",0.03,"color","english"
"126",4,"tomato","food",24,"short","plastic","size",0.06,"material","english"
"127",4,"chair","furniture",25,"metal","huge","material",0.95,"size","english"
"128",4,"apple","food",26,"blue","short","color",0.98,"size","english"
"129",4,"apple","food",27,"rotten","purple","age",0,"color","english"
"130",4,"TV","furniture",28,"soft","new","texture",0,"age","english"
"131",5,"banana","food",3,"small","new","size",0.05,"age","english"
"132",5,"TV","furniture",4,"plastic","square","material",1,"shape","english"
"133",5,"chair","furniture",5,"small","good","size",1,"quality","english"
"134",5,"banana","food",6,"good","new","quality",0.36,"age","english"
"135",5,"tomato","food",7,"smooth","big","texture",0.96,"size","english"
"136",5,"cheese","food",8,"new","green","age",0.04,"color","english"
"137",5,"carrot","food",9,"metal","round","material",0.97,"shape","english"
"138",5,"TV","furniture",10,"good","small","quality",0.03,"size","english"
"139",5,"apple","food",11,"green","old","color",0.99,"age","english"
"140",5,"apple","food",12,"fresh","tiny","age",0.98,"size","english"
"141",5,"cheese","food",13,"smooth","small","texture",0.97,"size","english"
"142",5,"desk","furniture",14,"purple","metal","color",0.03,"material","english"
"143",5,"banana","food",15,"good","red","quality",0.01,"color","english"
"144",5,"chair","furniture",16,"wooden","yellow","material",0.64,"color","english"
"145",5,"TV","furniture",17,"big","old","size",0.02,"age","english"
"146",5,"couch","furniture",18,"small","rotten","size",0.01,"age","english"
"147",5,"carrot","food",19,"bad","new","quality",0.01,"age","english"
"148",5,"fan","furniture",20,"short","old","size",0.02,"age","english"
"149",5,"cheese","food",21,"big","plastic","size",0.03,"material","english"
"150",5,"couch","furniture",22,"bad","new","quality",0.03,"age","english"
"151",5,"banana","food",23,"big","red","size",0,"color","english"
"152",5,"desk","furniture",24,"wooden","bad","material",0.97,"quality","english"
"153",5,"banana","food",25,"red","plastic","color",0.98,"material","english"
"154",5,"cheese","food",26,"rotten","tiny","age",0.02,"size","english"
"155",5,"carrot","food",27,"round","old","shape",0.95,"age","english"
"156",5,"TV","furniture",28,"brown","rotten","color",0.97,"age","english"
"157",6,"fan","furniture",3,"square","old","shape",0.83,"age","English"
"158",6,"cheese","food",4,"fresh","smooth","age",0.59,"texture","English"
"159",6,"couch","furniture",5,"bad","fresh","quality",0.49,"age","English"
"160",6,"chair","furniture",6,"long","green","size",0.2,"color","English"
"161",6,"apple","food",7,"brown","big","color",0.93,"size","English"
"162",6,"apple","food",8,"rotten","short","age",0.86,"size","English"
"163",6,"desk","furniture",9,"new","tiny","age",0.81,"size","English"
"164",6,"cheese","food",10,"purple","soft","color",0.82,"texture","English"
"165",6,"couch","furniture",11,"blue","old","color",0.96,"age","English"
"166",6,"fan","furniture",12,"fresh","round","age",0.32,"shape","English"
"167",6,"carrot","food",13,"new","good","age",0.91,"quality","English"
"168",6,"tomato","food",14,"metal","old","material",0.89,"age","English"
"169",6,"apple","food",15,"bad","yellow","quality",0.22,"color","English"
"170",6,"chair","furniture",16,"plastic","square","material",0.98,"shape","English"
"171",6,"banana","food",17,"new","smooth","age",0.63,"texture","English"
"172",6,"carrot","food",18,"red","round","color",0.77,"shape","English"
"173",6,"cheese","food",19,"fresh","purple","age",0.21,"color","English"
"174",6,"couch","furniture",20,"new","big","age",0.22,"size","English"
"175",6,"TV","furniture",21,"metal","new","material",0.93,"age","English"
"176",6,"carrot","food",22,"small","wooden","size",0.04,"material","English"
"177",6,"fan","furniture",23,"brown","small","color",0.94,"size","English"
"178",6,"couch","furniture",24,"yellow","soft","color",0.91,"texture","English"
"179",6,"couch","furniture",25,"tiny","fresh","size",0.66,"age","English"
"180",6,"cheese","food",26,"good","round","quality",0.06,"shape","English"
"181",6,"fan","furniture",27,"smooth","round","texture",0.3,"shape","English"
"182",6,"fan","furniture",28,"big","plastic","size",0.05,"material","English"
"183",7,"couch","furniture",3,"small","round","size",0.03,"shape","English"
"184",7,"banana","food",4,"new","purple","age",0.03,"color","English"
"185",7,"carrot","food",5,"long","blue","size",0.01,"color","English"
"186",7,"cheese","food",6,"green","huge","color",0.98,"size","English"
"187",7,"chair","furniture",7,"brown","soft","color",0.97,"texture","English"
"188",7,"fan","furniture",8,"bad","blue","quality",0,"color","English"
"189",7,"TV","furniture",9,"green","short","color",0.99,"size","English"
"190",7,"fan","furniture",10,"good","huge","quality",0.97,"size","English"
"191",7,"fan","furniture",11,"old","purple","age",0.04,"color","English"
"192",7,"banana","food",12,"good","plastic","quality",0.02,"material","English"
"193",7,"tomato","food",13,"smooth","good","texture",0.95,"quality","English"
"194",7,"cheese","food",14,"hard","huge","texture",0.97,"size","English"
"195",7,"TV","furniture",15,"plastic","long","material",0.96,"size","English"
"196",7,"cheese","food",16,"soft","plastic","texture",0.01,"material","English"
"197",7,"carrot","food",17,"small","old","size",0.98,"age","English"
"198",7,"couch","furniture",18,"good","round","quality",0.05,"shape","English"
"199",7,"TV","furniture",19,"plastic","long","material",0.98,"size","English"
"200",7,"chair","furniture",20,"blue","small","color",0.99,"size","English"
"201",7,"couch","furniture",21,"big","smooth","size",0.02,"texture","English"
"202",7,"fan","furniture",22,"metal","short","material",0.97,"size","English"
"203",7,"TV","furniture",23,"big","green","size",0.02,"color","English"
"204",7,"chair","furniture",24,"long","fresh","size",0.02,"age","English"
"205",7,"cheese","food",25,"good","green","quality",0.06,"color","English"
"206",7,"TV","furniture",26,"red","small","color",0.99,"size","English"
"207",7,"chair","furniture",27,"big","fresh","size",0.03,"age","English"
"208",7,"apple","food",28,"wooden","long","material",0.97,"size","English"
"209",8,"banana","food",3,"hard","metal","texture",0.31,"material","English"
"210",8,"fan","furniture",4,"square","green","shape",0.14,"color","English"
"211",8,"TV","furniture",5,"blue","tiny","color",0.88,"size","English"
"212",8,"chair","furniture",6,"green","soft","color",0.87,"texture","English"
"213",8,"desk","furniture",7,"new","red","age",0.14,"color","English"
"214",8,"cheese","food",8,"smooth","tiny","texture",0.31,"size","English"
"215",8,"fan","furniture",9,"new","square","age",0.59,"shape","English"
"216",8,"tomato","food",10,"tiny","yellow","size",0.27,"color","English"
"217",8,"banana","food",11,"yellow","small","color",0.9,"size","English"
"218",8,"desk","furniture",12,"purple","hard","color",0.75,"texture","English"
"219",8,"couch","furniture",13,"new","hard","age",0.33,"texture","English"
"220",8,"tomato","food",14,"wooden","green","material",0.75,"color","English"
"221",8,"apple","food",15,"green","small","color",0.87,"size","English"
"222",8,"desk","furniture",16,"red","hard","color",0.85,"texture","English"
"223",8,"chair","furniture",17,"round","short","shape",0.65,"size","English"
"224",8,"couch","furniture",18,"brown","plastic","color",0.23,"material","English"
"225",8,"carrot","food",19,"small","hard","size",0.25,"texture","English"
"226",8,"desk","furniture",20,"smooth","fresh","texture",0.67,"age","English"
"227",8,"apple","food",21,"big","red","size",0.18,"color","English"
"228",8,"banana","food",22,"soft","short","texture",0.77,"size","English"
"229",8,"cheese","food",23,"smooth","short","texture",0.67,"size","English"
"230",8,"TV","furniture",24,"yellow","smooth","color",0.73,"texture","English"
"231",8,"carrot","food",25,"smooth","square","texture",0.23,"shape","English"
"232",8,"fan","furniture",26,"long","metal","size",0.09,"material","English"
"233",8,"cheese","food",27,"soft","big","texture",0.84,"size","English"
"234",8,"TV","furniture",28,"rotten","big","age",0.83,"size","English"
"235",9,"apple","food",3,"wooden","purple","material",0.88,"color","english"
"236",9,"desk","furniture",4,"big","red","size",0,"color","english"
"237",9,"chair","furniture",5,"round","rotten","shape",1,"age","english"
"238",9,"cheese","food",6,"plastic","old","material",0.01,"age","english"
"239",9,"cheese","food",7,"long","good","size",0.01,"quality","english"
"240",9,"tomato","food",8,"good","smooth","quality",0.98,"texture","english"
"241",9,"chair","furniture",9,"plastic","blue","material",1,"color","english"
"242",9,"TV","furniture",10,"small","rotten","size",0,"age","english"
"243",9,"couch","furniture",11,"metal","smooth","material",0.92,"texture","english"
"244",9,"TV","furniture",12,"metal","fresh","material",0.99,"age","english"
"245",9,"couch","furniture",13,"purple","big","color",0.96,"size","english"
"246",9,"chair","furniture",14,"huge","good","size",0,"quality","english"
"247",9,"banana","food",15,"hard","bad","texture",0.03,"quality","english"
"248",9,"fan","furniture",16,"long","plastic","size",0.04,"material","english"
"249",9,"cheese","food",17,"huge","new","size",0,"age","english"
"250",9,"carrot","food",18,"long","plastic","size",0.03,"material","english"
"251",9,"couch","furniture",19,"good","old","quality",0.98,"age","english"
"252",9,"fan","furniture",20,"red","fresh","color",0.96,"age","english"
"253",9,"chair","furniture",21,"blue","old","color",0.03,"age","english"
"254",9,"chair","furniture",22,"old","purple","age",0.99,"color","english"
"255",9,"chair","furniture",23,"round","fresh","shape",0.93,"age","english"
"256",9,"cheese","food",24,"brown","rotten","color",0.04,"age","english"
"257",9,"desk","furniture",25,"smooth","plastic","texture",0.02,"material","english"
"258",9,"carrot","food",26,"small","new","size",0.95,"age","english"
"259",9,"cheese","food",27,"square","yellow","shape",0.92,"color","english"
"260",9,"chair","furniture",28,"rotten","short","age",0.95,"size","english"
"261",10,"couch","furniture",3,"tiny","bad","size",0.35,"quality","english"
"262",10,"banana","food",4,"big","hard","size",0.79,"texture","english"
"263",10,"chair","furniture",5,"smooth","square","texture",0.23,"shape","english"
"264",10,"couch","furniture",6,"small","rotten","size",0.13,"age","english"
"265",10,"fan","furniture",7,"plastic","huge","material",0.95,"size","english"
"266",10,"tomato","food",8,"square","smooth","shape",0.87,"texture","english"
"267",10,"cheese","food",9,"bad","square","quality",0.18,"shape","english"
"268",10,"apple","food",10,"yellow","short","color",0.97,"size","english"
"269",10,"tomato","food",11,"good","old","quality",0.8,"age","english"
"270",10,"desk","furniture",12,"square","short","shape",0.94,"size","english"
"271",10,"chair","furniture",13,"smooth","big","texture",0.96,"size","english"
"272",10,"carrot","food",14,"plastic","huge","material",0.93,"size","english"
"273",10,"apple","food",15,"bad","tiny","quality",0.95,"size","english"
"274",10,"apple","food",16,"plastic","green","material",0.58,"color","english"
"275",10,"banana","food",17,"purple","old","color",0.9,"age","english"
"276",10,"carrot","food",18,"good","old","quality",0.72,"age","english"
"277",10,"apple","food",19,"small","red","size",0.04,"color","english"
"278",10,"tomato","food",20,"fresh","short","age",0.09,"size","english"
"279",10,"TV","furniture",21,"huge","metal","size",0.01,"material","english"
"280",10,"TV","furniture",22,"soft","metal","texture",0.04,"material","english"
"281",10,"fan","furniture",23,"big","red","size",0.07,"color","english"
"282",10,"cheese","food",24,"round","wooden","shape",0.23,"material","english"
"283",10,"cheese","food",25,"good","big","quality",0.75,"size","english"
"284",10,"chair","furniture",26,"hard","long","texture",0.97,"size","english"
"285",10,"tomato","food",27,"huge","plastic","size",0.05,"material","english"
"286",10,"apple","food",28,"small","square","size",0.03,"shape","english"
"287",11,"chair","furniture",3,"new","red","age",0.03,"color","English"
"288",11,"apple","food",4,"plastic","hard","material",0.86,"texture","English"
"289",11,"TV","furniture",5,"good","hard","quality",0.35,"texture","English"
"290",11,"TV","furniture",6,"soft","metal","texture",0.16,"material","English"
"291",11,"banana","food",7,"fresh","brown","age",0.18,"color","English"
"292",11,"fan","furniture",8,"bad","rotten","quality",0.55,"age","English"
"293",11,"desk","furniture",9,"big","fresh","size",0.23,"age","English"
"294",11,"banana","food",10,"metal","small","material",0.7,"size","English"
"295",11,"tomato","food",11,"tiny","wooden","size",0.25,"material","English"
"296",11,"tomato","food",12,"metal","blue","material",0.74,"color","English"
"297",11,"tomato","food",13,"purple","hard","color",0.27,"texture","English"
"298",11,"desk","furniture",14,"new","tiny","age",0.69,"size","English"
"299",11,"fan","furniture",15,"soft","short","texture",0.67,"size","English"
"300",11,"desk","furniture",16,"short","round","size",0.18,"shape","English"
"301",11,"apple","food",17,"purple","smooth","color",0.74,"texture","English"
"302",11,"chair","furniture",18,"blue","long","color",0.68,"size","English"
"303",11,"couch","furniture",19,"smooth","long","texture",0.77,"size","English"
"304",11,"chair","furniture",20,"round","big","shape",0.75,"size","English"
"305",11,"TV","furniture",21,"hard","rotten","texture",0.69,"age","English"
"306",11,"couch","furniture",22,"brown","tiny","color",0.87,"size","English"
"307",11,"couch","furniture",23,"green","square","color",0.91,"shape","English"
"308",11,"cheese","food",24,"bad","soft","quality",0.84,"texture","English"
"309",11,"carrot","food",25,"hard","brown","texture",0.18,"color","English"
"310",11,"carrot","food",26,"small","wooden","size",0.09,"material","English"
"311",11,"tomato","food",27,"plastic","tiny","material",0.86,"size","English"
"312",11,"chair","furniture",28,"new","wooden","age",0.06,"material","English"
"313",12,"fan","furniture",3,"green","plastic","color",0.11,"material","english"
"314",12,"chair","furniture",4,"green","round","color",0.74,"shape","english"
"315",12,"chair","furniture",5,"rotten","plastic","age",0.01,"material","english"
"316",12,"banana","food",6,"long","new","size",0.21,"age","english"
"317",12,"tomato","food",7,"metal","hard","material",1,"texture","english"
"318",12,"TV","furniture",8,"big","square","size",0,"shape","english"
"319",12,"cheese","food",9,"huge","good","size",0.41,"quality","english"
"320",12,"couch","furniture",10,"good","soft","quality",0.22,"texture","english"
"321",12,"fan","furniture",11,"huge","brown","size",0.09,"color","english"
"322",12,"couch","furniture",12,"brown","rotten","color",0.58,"age","english"
"323",12,"apple","food",13,"good","round","quality",0.33,"shape","english"
"324",12,"carrot","food",14,"green","square","color",0.22,"shape","english"
"325",12,"desk","furniture",15,"big","bad","size",0.61,"quality","english"
"326",12,"apple","food",16,"smooth","fresh","texture",0.13,"age","english"
"327",12,"tomato","food",17,"hard","fresh","texture",0.89,"age","english"
