"","workerid","firstutterance","predicate","noun","response","nounclass","slide_number","class","language"
"1",0,"is not","soft","TV",1,"furniture",3,"texture","English"
"2",0,"is","smooth","TV",0.92,"furniture",4,"texture","English"
"3",0,"is not","brown","desk",0.03,"furniture",5,"color","English"
"4",0,"is","red","TV",0.02,"furniture",6,"color","English"
"5",0,"is not","good","desk",0.95,"furniture",7,"quality","English"
"6",0,"is not","old","banana",0.01,"food",8,"age","English"
"7",0,"is not","small","desk",0.89,"furniture",9,"size","English"
"8",0,"is","bad","desk",0.98,"furniture",10,"quality","English"
"9",0,"is not","wooden","fan",0.01,"furniture",11,"material","English"
"10",0,"is not","plastic","fan",0.05,"furniture",12,"material","English"
"11",0,"is not","yellow","carrot",0.03,"food",13,"color","English"
"12",0,"is not","green","banana",0.02,"food",14,"color","English"
"13",0,"is","metal","banana",0.02,"food",15,"material","English"
"14",0,"is not","huge","tomato",0.98,"food",16,"size","English"
"15",0,"is","new","banana",0.38,"food",17,"age","English"
"16",0,"is","purple","couch",0.03,"furniture",18,"color","English"
"17",0,"is","square","cheese",0.04,"food",19,"shape","English"
"18",0,"is not","rotten","banana",0.33,"food",20,"age","English"
"19",0,"is not","long","fan",0.96,"furniture",21,"size","English"
"20",0,"is not","big","fan",0.98,"furniture",22,"size","English"
"21",0,"is","round","carrot",0.03,"food",23,"shape","English"
"22",0,"is not","blue","TV",0.05,"furniture",24,"color","English"
"23",0,"is","tiny","couch",0.98,"furniture",25,"size","English"
"24",0,"is","hard","TV",0.96,"furniture",26,"texture","English"
"25",0,"is not","short","apple",1,"food",27,"size","English"
"26",0,"is not","fresh","chair",0.45,"furniture",28,"age","English"
"27",1,"is","green","tomato",0,"food",3,"color","english"
"28",1,"is not","red","apple",0,"food",4,"color","english"
"29",1,"is not","smooth","cheese",0.24,"food",5,"texture","english"
"30",1,"is","fresh","TV",1,"furniture",6,"age","english"
"31",1,"is not","square","carrot",0.53,"food",7,"shape","english"
"32",1,"is not","plastic","chair",0,"furniture",8,"material","english"
"33",1,"is","bad","fan",1,"furniture",9,"quality","english"
"34",1,"is","metal","banana",0,"food",10,"material","english"
"35",1,"is not","brown","fan",0.26,"furniture",11,"color","english"
"36",1,"is","long","chair",1,"furniture",12,"size","english"
"37",1,"is not","new","carrot",1,"food",13,"age","english"
"38",1,"is","rotten","TV",1,"furniture",14,"age","english"
"39",1,"is not","yellow","carrot",0.21,"food",15,"color","english"
"40",1,"is not","big","couch",1,"furniture",16,"size","english"
"41",1,"is","round","apple",0.6,"food",17,"shape","english"
"42",1,"is not","wooden","couch",0.9,"furniture",18,"material","english"
"43",1,"is","purple","cheese",0.41,"food",19,"color","english"
"44",1,"is not","tiny","carrot",1,"food",20,"size","english"
"45",1,"is","blue","fan",0.21,"furniture",21,"color","english"
"46",1,"is","hard","chair",1,"furniture",22,"texture","english"
"47",1,"is not","small","TV",1,"furniture",23,"size","english"
"48",1,"is not","soft","fan",1,"furniture",24,"texture","english"
"49",1,"is","old","apple",1,"food",25,"age","english"
"50",1,"is","good","tomato",1,"food",26,"quality","english"
"51",1,"is","short","cheese",1,"food",27,"size","english"
"52",1,"is","huge","tomato",1,"food",28,"size","english"
"53",2,"is","bad","apple",0.23,"food",3,"quality","English"
"54",2,"is","soft","apple",0.45,"food",4,"texture","English"
"55",2,"is","plastic","carrot",0.03,"food",5,"material","English"
"56",2,"is","purple","cheese",0.02,"food",6,"color","English"
"57",2,"is not","new","tomato",0.96,"food",7,"age","English"
"58",2,"is not","rotten","banana",0.51,"food",8,"age","English"
"59",2,"is not","fresh","apple",0.67,"food",9,"age","English"
"60",2,"is","red","TV",0.01,"furniture",10,"color","English"
"61",2,"is not","tiny","cheese",0.52,"food",11,"size","English"
"62",2,"is","square","apple",0.01,"food",12,"shape","English"
"63",2,"is not","big","desk",0.79,"furniture",13,"size","English"
"64",2,"is","hard","fan",0.05,"furniture",14,"texture","English"
"65",2,"is","short","cheese",0.76,"food",15,"size","English"
"66",2,"is","huge","fan",0.52,"furniture",16,"size","English"
"67",2,"is not","yellow","couch",0.06,"furniture",17,"color","English"
"68",2,"is not","blue","fan",0.03,"furniture",18,"color","English"
"69",2,"is","good","banana",0.76,"food",19,"quality","English"
"70",2,"is","metal","cheese",0.06,"food",20,"material","English"
"71",2,"is not","wooden","tomato",0.05,"food",21,"material","English"
"72",2,"is","small","banana",0.56,"food",22,"size","English"
"73",2,"is","green","TV",0.05,"furniture",23,"color","English"
"74",2,"is","long","couch",0.87,"furniture",24,"size","English"
"75",2,"is","smooth","TV",0.46,"furniture",25,"texture","English"
"76",2,"is","brown","couch",0.27,"furniture",26,"color","English"
"77",2,"is not","round","chair",0.08,"furniture",27,"shape","English"
"78",2,"is","old","apple",0.79,"food",28,"age","English"
"79",3,"is not","soft","couch",0.97,"furniture",3,"texture","English"
"80",3,"is","hard","tomato",0,"food",4,"texture","English"
"81",3,"is not","bad","carrot",0.21,"food",5,"quality","English"
"82",3,"is","metal","chair",0,"furniture",6,"material","English"
"83",3,"is","plastic","fan",0.02,"furniture",7,"material","English"
"84",3,"is","big","couch",0.81,"furniture",8,"size","English"
"85",3,"is not","square","cheese",0,"food",9,"shape","English"
"86",3,"is","smooth","cheese",0.02,"food",10,"texture","English"
"87",3,"is","green","apple",0.08,"food",11,"color","English"
"88",3,"is","huge","cheese",0.73,"food",12,"size","English"
"89",3,"is not","long","couch",0.8,"furniture",13,"size","English"
"90",3,"is not","yellow","desk",0.05,"furniture",14,"color","English"
"91",3,"is","old","couch",0.8,"furniture",15,"age","English"
"92",3,"is","tiny","cheese",0.82,"food",16,"size","English"
"93",3,"is","brown","cheese",0.08,"food",17,"color","English"
"94",3,"is","round","cheese",0.04,"food",18,"shape","English"
"95",3,"is not","red","banana",0.06,"food",19,"color","English"
"96",3,"is","short","tomato",0.8,"food",20,"size","English"
"97",3,"is not","fresh","desk",0.93,"furniture",21,"age","English"
"98",3,"is","wooden","fan",0.04,"furniture",22,"material","English"
"99",3,"is","new","TV",0.02,"furniture",23,"age","English"
"100",3,"is not","blue","banana",0.08,"food",24,"color","English"
"101",3,"is not","good","cheese",0.9,"food",25,"quality","English"
"102",3,"is not","rotten","couch",0.81,"furniture",26,"age","English"
"103",3,"is not","small","carrot",0.76,"food",27,"size","English"
"104",3,"is not","purple","TV",0.01,"furniture",28,"color","English"
"105",4,"is","wooden","banana",0,"food",3,"material","english"
"106",4,"is","smooth","couch",1,"furniture",4,"texture","english"
"107",4,"is","big","TV",1,"furniture",5,"size","english"
"108",4,"is","short","desk",1,"furniture",6,"size","english"
"109",4,"is","metal","fan",0,"furniture",7,"material","english"
"110",4,"is not","new","cheese",1,"food",8,"age","english"
"111",4,"is not","yellow","apple",0.94,"food",9,"color","english"
"112",4,"is","small","apple",1,"food",10,"size","english"
"113",4,"is","long","chair",1,"furniture",11,"size","english"
"114",4,"is","square","desk",0,"furniture",12,"shape","english"
"115",4,"is not","tiny","TV",1,"furniture",13,"size","english"
"116",4,"is","red","couch",1,"furniture",14,"color","english"
"117",4,"is not","huge","desk",1,"furniture",15,"size","english"
"118",4,"is","rotten","cheese",0.51,"food",16,"age","english"
"119",4,"is not","fresh","carrot",1,"food",17,"age","english"
"120",4,"is","round","carrot",0,"food",18,"shape","english"
"121",4,"is not","brown","tomato",1,"food",19,"color","english"
"122",4,"is not","good","couch",1,"furniture",20,"quality","english"
"123",4,"is not","purple","banana",1,"food",21,"color","english"
"124",4,"is not","plastic","banana",0,"food",22,"material","english"
"125",4,"is","bad","apple",1,"food",23,"quality","english"
"126",4,"is","hard","couch",1,"furniture",24,"texture","english"
"127",4,"is not","soft","banana",1,"food",25,"texture","english"
"128",4,"is not","old","chair",1,"furniture",26,"age","english"
"129",4,"is","blue","desk",1,"furniture",27,"color","english"
"130",4,"is","green","banana",1,"food",28,"color","english"
"131",5,"is not","blue","banana",0.03,"food",3,"color","English"
"132",5,"is not","good","desk",0.98,"furniture",4,"quality","English"
"133",5,"is not","short","tomato",0.25,"food",5,"size","English"
"134",5,"is not","new","carrot",0.75,"food",6,"age","English"
"135",5,"is","purple","carrot",0.04,"food",7,"color","English"
"136",5,"is","hard","couch",0.94,"furniture",8,"texture","English"
"137",5,"is not","huge","cheese",0.62,"food",9,"size","English"
"138",5,"is not","wooden","tomato",0.17,"food",10,"material","English"
"139",5,"is","green","apple",0.05,"food",11,"color","English"
"140",5,"is","old","chair",0.77,"furniture",12,"age","English"
"141",5,"is","metal","desk",0.12,"furniture",13,"material","English"
"142",5,"is","brown","cheese",0.21,"food",14,"color","English"
"143",5,"is","smooth","chair",0.32,"furniture",15,"texture","English"
"144",5,"is not","big","TV",0.27,"furniture",16,"size","English"
"145",5,"is not","red","apple",0.13,"food",17,"color","English"
"146",5,"is not","soft","TV",0.62,"furniture",18,"texture","English"
"147",5,"is not","rotten","cheese",0.21,"food",19,"age","English"
"148",5,"is","small","banana",0.33,"food",20,"size","English"
"149",5,"is not","round","TV",0.12,"furniture",21,"shape","English"
"150",5,"is not","tiny","chair",0.54,"furniture",22,"size","English"
"151",5,"is","fresh","TV",0.28,"furniture",23,"age","English"
"152",5,"is","plastic","apple",0.07,"food",24,"material","English"
"153",5,"is not","long","chair",0.6,"furniture",25,"size","English"
"154",5,"is not","bad","desk",0.95,"furniture",26,"quality","English"
"155",5,"is not","square","couch",0.18,"furniture",27,"shape","English"
"156",5,"is not","yellow","TV",0.06,"furniture",28,"color","English"
"157",6,"is not","soft","couch",1,"furniture",3,"texture","English"
"158",6,"is","bad","apple",0,"food",4,"quality","English"
"159",6,"is","brown","tomato",0.03,"food",5,"color","English"
"160",6,"is not","rotten","cheese",0.02,"food",6,"age","English"
"161",6,"is","small","cheese",0.94,"food",7,"size","English"
"162",6,"is","red","fan",0.03,"furniture",8,"color","English"
"163",6,"is","fresh","fan",0.99,"furniture",9,"age","English"
"164",6,"is not","wooden","chair",0.04,"furniture",10,"material","English"
"165",6,"is","round","desk",0.06,"furniture",11,"shape","English"
"166",6,"is","tiny","fan",0.96,"furniture",12,"size","English"
"167",6,"is not","green","TV",0.02,"furniture",13,"color","English"
"168",6,"is","old","TV",0,"furniture",14,"age","English"
"169",6,"is","metal","apple",0,"food",15,"material","English"
"170",6,"is not","short","cheese",1,"food",16,"size","English"
"171",6,"is","big","couch",0.96,"furniture",17,"size","English"
"172",6,"is","huge","TV",0.75,"furniture",18,"size","English"
"173",6,"is not","plastic","fan",0.03,"furniture",19,"material","English"
"174",6,"is not","good","carrot",0.02,"food",20,"quality","English"
"175",6,"is","purple","fan",0.13,"furniture",21,"color","English"
"176",6,"is","long","TV",0.61,"furniture",22,"size","English"
"177",6,"is","yellow","TV",0.04,"furniture",23,"color","English"
"178",6,"is","hard","carrot",0.05,"food",24,"texture","English"
"179",6,"is","square","chair",0.04,"furniture",25,"shape","English"
"180",6,"is not","blue","chair",0.04,"furniture",26,"color","English"
"181",6,"is","smooth","chair",0.93,"furniture",27,"texture","English"
"182",6,"is","new","fan",0.76,"furniture",28,"age","English"
"183",7,"is not","brown","carrot",0.04,"food",3,"color","English"
"184",7,"is not","long","TV",0.02,"furniture",4,"size","English"
"185",7,"is","metal","fan",0.04,"furniture",5,"material","English"
"186",7,"is","plastic","cheese",0.02,"food",6,"material","English"
"187",7,"is","old","apple",0.56,"food",7,"age","English"
"188",7,"is","good","desk",0.95,"furniture",8,"quality","English"
"189",7,"is not","new","banana",0.6,"food",9,"age","English"
"190",7,"is","huge","desk",0.95,"furniture",10,"size","English"
"191",7,"is not","green","desk",0.48,"furniture",11,"color","English"
"192",7,"is","yellow","fan",0.48,"furniture",12,"color","English"
"193",7,"is not","wooden","tomato",0.53,"food",13,"material","English"
"194",7,"is","short","apple",0.92,"food",14,"size","English"
"195",7,"is","hard","chair",0.97,"furniture",15,"texture","English"
"196",7,"is not","smooth","carrot",0.98,"food",16,"texture","English"
"197",7,"is","round","chair",0.5,"furniture",17,"shape","English"
"198",7,"is not","red","carrot",0.56,"food",18,"color","English"
"199",7,"is","bad","couch",0.94,"furniture",19,"quality","English"
"200",7,"is not","fresh","chair",0.95,"furniture",20,"age","English"
"201",7,"is not","tiny","carrot",0.95,"food",21,"size","English"
"202",7,"is","blue","fan",0.51,"furniture",22,"color","English"
"203",7,"is","rotten","tomato",0.69,"food",23,"age","English"
"204",7,"is not","small","apple",0.94,"food",24,"size","English"
"205",7,"is not","purple","carrot",0.5,"food",25,"color","English"
"206",7,"is not","big","tomato",0.98,"food",26,"size","English"
"207",7,"is","square","tomato",0.32,"food",27,"shape","English"
"208",7,"is not","soft","carrot",0.66,"food",28,"texture","English"
"209",8,"is","purple","apple",0.67,"food",3,"color","english"
"210",8,"is not","long","fan",0.99,"furniture",4,"size","english"
"211",8,"is","square","cheese",0.01,"food",5,"shape","english"
"212",8,"is","old","couch",0.98,"furniture",6,"age","english"
"213",8,"is not","new","carrot",0.9,"food",7,"age","english"
"214",8,"is not","yellow","tomato",0.97,"food",8,"color","english"
"215",8,"is","smooth","chair",0.07,"furniture",9,"texture","english"
"216",8,"is","big","chair",0.96,"furniture",10,"size","english"
"217",8,"is","good","fan",0.97,"furniture",11,"quality","english"
"218",8,"is","small","fan",0.95,"furniture",12,"size","english"
"219",8,"is","metal","desk",0,"furniture",13,"material","english"
"220",8,"is","blue","carrot",0.75,"food",14,"color","english"
"221",8,"is not","round","chair",0.06,"furniture",15,"shape","english"
"222",8,"is","soft","TV",0.04,"furniture",16,"texture","english"
"223",8,"is not","brown","banana",0.61,"food",17,"color","english"
"224",8,"is","hard","TV",0.04,"furniture",18,"texture","english"
"225",8,"is not","fresh","carrot",0.73,"food",19,"age","english"
"226",8,"is not","plastic","TV",0.04,"furniture",20,"material","english"
"227",8,"is not","huge","carrot",0.94,"food",21,"size","english"
"228",8,"is","wooden","banana",0.03,"food",22,"material","english"
"229",8,"is","green","cheese",0.53,"food",23,"color","english"
"230",8,"is","rotten","fan",0.95,"furniture",24,"age","english"
"231",8,"is","bad","TV",0.97,"furniture",25,"quality","english"
"232",8,"is not","short","carrot",0.98,"food",26,"size","english"
"233",8,"is","tiny","cheese",0.96,"food",27,"size","english"
"234",8,"is","red","desk",0.7,"furniture",28,"color","english"
"235",9,"is not","hard","cheese",0.83,"food",3,"texture","english"
"236",9,"is not","fresh","couch",0.77,"furniture",4,"age","english"
"237",9,"is","purple","apple",0.9,"food",5,"color","english"
"238",9,"is not","huge","carrot",0.88,"food",6,"size","english"
"239",9,"is","round","cheese",0.85,"food",7,"shape","english"
"240",9,"is","yellow","couch",0.91,"furniture",8,"color","english"
"241",9,"is not","smooth","couch",0.86,"furniture",9,"texture","english"
"242",9,"is","old","apple",0.87,"food",10,"age","english"
"243",9,"is","good","fan",1,"furniture",11,"quality","english"
"244",9,"is","bad","banana",1,"food",12,"quality","english"
"245",9,"is","metal","desk",0.45,"furniture",13,"material","english"
"246",9,"is not","new","chair",0.92,"furniture",14,"age","english"
"247",9,"is","short","carrot",0.25,"food",15,"size","english"
"248",9,"is","wooden","TV",0.42,"furniture",16,"material","english"
"249",9,"is not","soft","TV",0.13,"furniture",17,"texture","english"
"250",9,"is","rotten","chair",0.18,"furniture",18,"age","english"
"251",9,"is not","square","desk",0.22,"furniture",19,"shape","english"
"252",9,"is","blue","cheese",0.52,"food",20,"color","english"
"253",9,"is","long","tomato",0.24,"food",21,"size","english"
"254",9,"is not","small","apple",0.66,"food",22,"size","english"
"255",9,"is","brown","desk",0.47,"furniture",23,"color","english"
"256",9,"is not","plastic","chair",0.24,"furniture",24,"material","english"
"257",9,"is not","green","carrot",0.33,"food",25,"color","english"
"258",9,"is","tiny","chair",0.75,"furniture",26,"size","english"
"259",9,"is not","red","cheese",0.94,"food",27,"color","english"
"260",9,"is","big","fan",0.46,"furniture",28,"size","english"
"261",10,"is not","long","couch",0.22,"furniture",3,"size","English"
"262",10,"is not","tiny","desk",0.77,"furniture",4,"size","English"
"263",10,"is not","smooth","couch",0.24,"furniture",5,"texture","English"
"264",10,"is","bad","cheese",0.9,"food",6,"quality","English"
"265",10,"is not","soft","couch",0.92,"furniture",7,"texture","English"
"266",10,"is not","blue","chair",0.7,"furniture",8,"color","English"
"267",10,"is","yellow","carrot",0.72,"food",9,"color","English"
"268",10,"is not","good","banana",0.79,"food",10,"quality","English"
"269",10,"is","rotten","cheese",0.51,"food",11,"age","English"
"270",10,"is","huge","fan",0.62,"furniture",12,"size","English"
"271",10,"is","brown","fan",0.89,"furniture",13,"color","English"
"272",10,"is","round","apple",0.7,"food",14,"shape","English"
"273",10,"is","purple","chair",0.9,"furniture",15,"color","English"
"274",10,"is","plastic","tomato",0.1,"food",16,"material","English"
"275",10,"is not","new","apple",0.35,"food",17,"age","English"
"276",10,"is","wooden","fan",0.1,"furniture",18,"material","English"
"277",10,"is","square","tomato",0.24,"food",19,"shape","English"
"278",10,"is","short","cheese",0.74,"food",20,"size","English"
"279",10,"is not","big","apple",0.73,"food",21,"size","English"
"280",10,"is","green","carrot",0.88,"food",22,"color","English"
"281",10,"is not","hard","cheese",0.84,"food",23,"texture","English"
"282",10,"is not","small","carrot",0.93,"food",24,"size","English"
"283",10,"is not","red","TV",0.87,"furniture",25,"color","English"
"284",10,"is","metal","fan",0.17,"furniture",26,"material","English"
"285",10,"is","old","apple",0.68,"food",27,"age","English"
"286",10,"is not","fresh","cheese",0.89,"food",28,"age","English"
"287",11,"is","bad","apple",1,"food",3,"quality","English"
"288",11,"is not","good","tomato",0.99,"food",4,"quality","English"
"289",11,"is","soft","cheese",0.05,"food",5,"texture","English"
"290",11,"is not","purple","banana",0.03,"food",6,"color","English"
"291",11,"is","brown","couch",0.03,"furniture",7,"color","English"
"292",11,"is","old","carrot",0.01,"food",8,"age","English"
"293",11,"is","big","couch",0.98,"furniture",9,"size","English"
"294",11,"is","blue","apple",0.04,"food",10,"color","English"
"295",11,"is not","yellow","chair",0.48,"furniture",11,"color","English"
"296",11,"is not","new","banana",0.46,"food",12,"age","English"
"297",11,"is","smooth","apple",0.53,"food",13,"texture","English"
"298",11,"is","rotten","carrot",0.03,"food",14,"age","English"
"299",11,"is not","fresh","TV",0.02,"furniture",15,"age","English"
"300",11,"is not","round","chair",0,"furniture",16,"shape","English"
"301",11,"is not","hard","desk",0.48,"furniture",17,"texture","English"
"302",11,"is not","wooden","apple",0.04,"food",18,"material","English"
"303",11,"is","metal","desk",0.04,"furniture",19,"material","English"
"304",11,"is not","huge","cheese",1,"food",20,"size","English"
"305",11,"is not","square","carrot",0.82,"food",21,"shape","English"
"306",11,"is","plastic","desk",0,"furniture",22,"material","English"
"307",11,"is","tiny","banana",0.98,"food",23,"size","English"
"308",11,"is","red","tomato",0.02,"food",24,"color","English"
"309",11,"is not","long","TV",0.85,"furniture",25,"size","English"
"310",11,"is not","green","apple",0.01,"food",26,"color","English"
"311",11,"is","short","chair",0.97,"furniture",27,"size","English"
"312",11,"is not","small","cheese",0.38,"food",28,"size","English"
"313",12,"is not","wooden","tomato",0.01,"food",3,"material","English"
"314",12,"is not","yellow","TV",0,"furniture",4,"color","English"
"315",12,"is not","good","chair",0,"furniture",5,"quality","English"
"316",12,"is not","tiny","tomato",0,"food",6,"size","English"
"317",12,"is","huge","fan",0,"furniture",7,"size","English"
"318",12,"is","plastic","chair",0,"furniture",8,"material","English"
"319",12,"is","soft","apple",0,"food",9,"texture","English"
"320",12,"is","fresh","fan",0,"furniture",10,"age","English"
"321",12,"is","round","carrot",0,"food",11,"shape","English"
"322",12,"is","square","TV",0,"furniture",12,"shape","English"
"323",12,"is","small","carrot",0,"food",13,"size","English"
"324",12,"is not","brown","chair",0,"furniture",14,"color","English"
"325",12,"is","old","tomato",0,"food",15,"age","English"
"326",12,"is","bad","banana",0,"food",16,"quality","English"
"327",12,"is not","red","chair",0,"furniture",17,"color","English"
"328",12,"is not","blue","apple",0,"food",18,"color","English"
"329",12,"is","new","cheese",0,"food",19,"age","English"
"330",12,"is not","smooth","couch",0,"furniture",20,"texture","English"
"331",12,"is","rotten","apple",0,"food",21,"age","English"
"332",12,"is not","hard","desk",0.02,"furniture",22,"texture","English"
"333",12,"is","long","TV",0,"furniture",23,"size","English"
"334",12,"is not","purple","chair",0,"furniture",24,"color","English"
"335",12,"is not","big","apple",0,"food",25,"size","English"
"336",12,"is","short","cheese",0,"food",26,"size","English"
"337",12,"is","green","couch",0,"furniture",27,"color","English"
"338",12,"is","metal","banana",0,"food",28,"material","English"
"339",13,"is","smooth","TV",0.92,"furniture",3,"texture","english"
"340",13,"is not","round","tomato",0.12,"food",4,"shape","english"
"341",13,"is not","yellow","desk",0.1,"furniture",5,"color","english"
"342",13,"is not","green","chair",0,"furniture",6,"color","english"
"343",13,"is not","hard","TV",0.96,"furniture",7,"texture","english"
"344",13,"is","good","fan",0.97,"furniture",8,"quality","english"
"345",13,"is not","old","desk",0.86,"furniture",9,"age","english"
"346",13,"is","purple","tomato",0.1,"food",10,"color","english"
"347",13,"is not","plastic","apple",0.08,"food",11,"material","english"
"348",13,"is not","soft","fan",0.97,"furniture",12,"texture","english"
"349",13,"is not","big","couch",1,"furniture",13,"size","english"
"350",13,"is not","huge","couch",0.93,"furniture",14,"size","english"
